企業策略及目標,子策略目標,企業策略及目標之Leader
永續發展ESG政策遵循,減碳,人力資源部 李英豪(FRANCE)
永續發展ESG政策遵循,資訊安全,人力資源部 李英豪(FRANCE)
永續發展ESG政策遵循,公司治理,人力資源部 李英豪(FRANCE)
Margin Margin Margin x Profit Profit Profit,達成預算營業利益,採購資材群 吳宗庭(CHARLY)
降低庫存水位,庫存水位降至16週,產品行銷處 陳志瑋(IBSEN)
營收目標400億+拓展通路與市占率,營收目標400億,採購資材群 吳宗庭(CHARLY)
"強化品牌價值(ADATA,XPG)",維持台灣前20大國際品牌,品牌行銷處 劉怡君(JENNIE)
"強化品牌價值(ADATA,XPG)",集團獎項每年5個以上;  產品獎項(ADATA/ XPG)每年30個以上,品牌行銷處 劉怡君(JENNIE)
專注產品項目(SSD+DRAM+EV(電動三輪車)+XPG(電競產品)+IA(工控產品)),既有產品定期更新Roadmap,產品研發群 戴子然(NICK)
專注產品項目(SSD+DRAM+EV(電動三輪車)+XPG(電競產品)+IA(工控產品)),研發單位產出技術為導向的產品Roadmap(前瞻產品),產品研發群 戴子然(NICK)
切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,增加Enterprise及Embedded產品Roadmap,產品研發群 戴子然(NICK)
切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,提升AI專業技能,產品研發群 戴子然(NICK)
切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,切入碳權交易,產品研發群 戴子然(NICK)
布局文化藝術,黑膠音樂博物館試營運期間以一千人次參觀數為目標,運彩處 林天瓊(TAINCHIUNG)
